Riverside_Park,Location,Latitude,Longitude,Type
基隆河右岸,南湖橋,25.06353866,121.6114482,橋下休憩區
基隆河右岸,麥帥2橋,25.05690904,121.5723885,橋下休憩區
基隆河右岸,麥帥1橋,25.05298434,121.5736322,橋下休憩區
基隆河右岸,彩虹橋,25.05279863,121.5765842,橋下休憩區
基隆河右岸,成美橋,25.05451957,121.5825703,橋下休憩區
基隆河右岸,成功橋,25.05966988,121.5917817,橋下休憩區
基隆河右岸,關渡碼頭旁,25.12096725,121.4619724,高灘地休憩涼亭
基隆河右岸,貴子坑溪匯流口,25.11512998,121.4854455,自行車道堤頂休憩涼亭
基隆河右岸,下八仙抽水站下游,25.11595292,121.489178,自行車道堤頂休憩涼亭
基隆河右岸,大業二抽水站下游,25.11398882,121.4939889,自行車道堤頂休憩涼亭
基隆河右岸,洲美橋,25.10013434,121.4986972,橋下休憩區
基隆河右岸,百齡橋,25.08963888,121.5143867,橋下休憩區
基隆河右岸,承德橋,25.07842457,121.5212474,橋下休憩區
基隆河右岸,高速公路橋(圓山段),25.07458721,121.5272335,橋下休憩區
基隆河右岸,大直橋,25.07711246,121.5443169,橋下休憩區
基隆河右岸,環山放流水路旁,25.0748843,121.5619198,高灘地休憩涼亭
基隆河右岸,民權橋,25.06426288,121.5705572,橋下休憩區
基隆河左岸,新生抽水站上游,25.07439713,121.5300589,自行車道堤頂休憩涼亭
基隆河左岸,希望噴泉旁,25.07450689,121.5355364,自行車道堤頂休憩涼亭
基隆河左岸,基9門前,25.07393613,121.5379116,自行車道堤頂休憩涼亭
基隆河左岸,基8門前,25.07398003,121.539487,自行車道堤頂休憩涼亭
基隆河左岸,大直橋,25.07384832,121.5443343,橋下休憩區
基隆河左岸,高速公路橋(內湖段),25.07114812,121.5691767,橋下休憩區
基隆河左岸,麥帥2橋,25.05509941,121.570437,橋下休憩區
基隆河左岸,麥帥1橋,25.05163033,121.5711156,橋下休憩區
基隆河左岸,彩虹橋,25.05165228,121.5767143,橋下休憩區
基隆河左岸,成功橋,25.05856839,121.5923711,橋下休憩區
基隆河左岸,南湖橋,25.06267396,121.612342,橋下休憩區
基隆河左岸,百齡橋,25.08850077,121.5127541,橋下休憩區
基隆河左岸,承德橋,25.0773497,121.5208854,橋下休憩區
基隆河左岸,新舊防潮堤濕地3,25.11338944,121.4880813,自行車道堤頂休憩涼亭
基隆河左岸,新舊防潮堤濕地2,25.11316999,121.4903595,自行車道堤頂休憩涼亭
基隆河左岸,新舊防潮堤濕地1,25.11279691,121.491232,自行車道堤頂休憩涼亭
